id_,age,wealth,gender
0,52,112016,1
1,69,138130,1
2,528287118,239019,1
3,41,117787,0
4,38,218445,0
5,33,149043,0
6,39,195779,0
7,50,9103,1
8,2958366449,237429,1
9,31,200226,1
10,32,225123,0
11,66,43427,1
12,468315917,160090,0
13,65,67637,1
14,53,151068,0
15,48,132883,1
16,56,130483,0
17,63,69838,0
18,86,198469,0
19,79,221652,1
20,51,144339,0
21,46,243079,0
22,35,41756,1
23,35,114953,0
24,30,76971,0
25,39,59161,0
26,43,153652,0
27,46,108121,1
28,67,119052,1
29,72,20506,1
30,75,179098,0
31,61,21234,0
32,41,180127,0
33,42,49837,1
34,2103364275,76152,1
35,26,249896,0
36,12,29154,1
37,53,96431,1
38,56,159468,0
39,50,30135,1
40,53,243617,0
41,51,150825,0
42,43,42438,0
43,43,128149,1
44,40,216619,0
45,57,150699,1
46,52,136456,1
47,16,121708,0
48,49,126538,1
49,53,21468,0
50,69,32596,0
51,29,106115,1
52,3199544356,184281,1
53,115,89999,1
54,55,176357,1
55,50,209555,0
56,42,173499,0
57,54,180523,0
58,0,109971,0
59,52,112704,0
60,52,169217,0
61,58,168446,0
62,45,175181,1
63,57,103908,0
64,33,62227,1
65,58,49536,0
66,38,244998,1
67,46,236464,1
68,58,218104,0
69,33,109225,1
70,38,80254,1
71,48,16017,1
72,59,15137,0
73,66,37325,1
74,75,246797,0
75,25,123169,0
76,57,45607,1
77,2934955015,11287,1
78,22,77756,1
79,51,182250,0
80,38,181542,0
81,32,230799,1
82,34,188001,0
83,41,1501,0
84,56,211532,0
85,34,94191,1
86,57,91144,0
87,26,222340,1
88,85,50849,1
89,1999111890,231778,0
90,4232532373,65687,0
91,48,137463,0
92,28,12334,1
93,46,10153,0
94,67,16542,1
95,61,240071,1
96,45,47712,0
97,23,36290,0
98,70,51759,1
99,65,172789,1
100,59,174213,0
101,41,39422,1
102,62,28019,1
103,32,12243,1
104,26,216225,0
105,33,35364,0
106,35,233965,0
107,34,84517,0
108,67,21574,0
109,39,100389,1
110,46,194917,1
111,63,100486,0
112,51,28838,1
113,27,148929,1
114,30,7159,1
115,39,108806,1
116,41,10061,0
117,77,71717,0
118,50,120085,0
119,41,116116,1
120,41,159099,0
121,70,55983,1
122,66,235466,0
123,26,19064,0
124,50,105336,1
125,57,60423,0
126,58,35766,1
127,60,4931,0
128,55,195842,0
129,63,110275,0
130,44,105475,1
131,34,120121,1
132,38,25455,1
133,954787690,181401,0
134,37,234504,1
135,64,43137,1
136,40,135985,1
137,38,236610,0
138,20,45532,1
139,59,165083,0
140,29,242261,0
141,64,169047,1
142,64,239817,0
143,49,232666,0
144,74,97268,1
145,32,140161,0
146,62,106687,0
147,49,199725,0
148,44,200714,0
149,67,98383,1
150,53,7221,1
151,53,31647,1
152,41,82296,1
153,55,201167,0
154,34,238470,0
155,59,118954,1
156,62,62936,0
157,3478085147,8581,0
158,56,55498,1
159,64,165285,1
160,82,191920,1
161,47,116391,1
162,42,224175,0
163,45,22746,1
164,60,171573,0
165,74,44623,0
166,29,168134,0
167,48,154416,0
168,64,125900,0
169,3841823629,134439,1
170,71,109713,0
171,272416044,169587,0
172,53,53626,0
173,50,160109,0
174,51,44008,1
175,45,206925,1
176,43,175173,0
177,60,136456,1
178,50,19553,0
179,56,83848,0
180,70,35028,1
181,72,223041,0
182,50,150901,1
183,51,137845,1
184,61,12440,0
185,27,7339,0
186,57,107304,1
187,46,56833,0
188,52,591,0
189,55,229083,0
190,32,99733,1
191,51,247061,0
192,65,172976,1
193,60,98683,1
194,61,77008,1
195,24,234467,0
196,31,142116,0
197,62,245253,0
198,70,115139,0
199,55,95497,1
200,37,146300,1
201,3552200352,173084,1
202,53,208269,1
203,66,53863,0
204,19,102331,0
205,56,122497,1
206,57,213375,1
207,38,204391,0
208,1631062716,96360,0
209,26,180172,1
210,64,138782,0
211,40,205955,0
212,50,246456,1
213,73,8507,1
214,75,245805,1
215,25,87055,1
216,12,88932,1
217,67,241639,1
218,57,167308,0
219,33,136452,0
220,35,201965,0
221,33,177745,0
222,59,145743,1
223,970447765,71636,0
224,47,2523,0
225,2611721064,200010,0
226,44,61764,1
227,43,83175,0
228,77,117027,0
229,51,143502,0
230,51,14945,1
231,61,58914,0
232,81,122146,1
233,47,239317,0
234,1032820043,166631,1
235,40,107341,1
236,45,212051,0
237,45,95418,0
238,44,112433,0
239,51,165367,0
240,48,147951,0
241,47,23094,0
242,60,108457,0
243,65,249027,1
244,52,8515,1
245,41,23512,0
246,18,3084,1
247,61,144806,0
248,10,125085,1
249,36,900,1
250,42,140809,1
251,3227091199,114909,1
252,58,25838,1
253,46,139145,1
254,3890887911,174163,0
255,52,167835,1
256,46,174835,0
257,30,27021,1
258,93,96137,1
259,44,77183,0
260,64,161433,1
261,61,83605,0
262,57,247067,1
263,46,186627,1
264,77,170709,1
265,34,193559,1
266,40,137700,0
267,20,247850,0
268,61,19308,0
269,37,168311,0
270,42,155674,0
271,63,142334,0
272,69,30464,0
273,50,104717,0
274,30,105100,1
275,76,78865,0
276,42,51974,0
277,25,12316,0
278,67,208966,1
279,50,248604,1
280,27,131194,1
281,48,150583,1
282,46,145260,1
283,42,190976,0
284,58,227719,0
285,30,213419,0
286,49,52799,0
287,44,208981,0
288,67,184788,1
289,47,171401,0
290,28,236687,1
291,36,111999,0
292,22,24840,0
293,52,241413,1
294,34,98738,0
295,58,231870,0
296,56,211551,1
